R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.830983944,3.885670609,4.036009471,4.099997432,4.536443176,4.48752212,8,56.92,0.64,80.5231
3.674974194,3.898982654,4.04537047,4.142135411,4.556386138,4.55398665,9,54.74,0.46,67.1619
3.682346551,3.855532583,4.027702098,4.112830254,4.513188483,4.491706267,9,59.13,0.56,73.8652
3.684617559,3.855925779,4.022725191,4.104016328,4.513255457,4.493740666,9,59.22,0.48,66.9693
3.685451232,3.858407858,4.030211046,4.111341913,4.503611294,4.484448852,9,60.37,0.53,70.9193
3.689713705,3.854350824,4.053863286,4.130303514,4.546498081,4.511519252,9,59.78,0.47,65.7744
3.696378191,3.889689062,4.053231061,4.143138966,4.519202517,4.501918257,9,58.74,0.51,69.8726
3.697189655,3.877894201,4.015841326,4.104371031,4.495956252,4.483925789,9,61.43,0.52,69.627
3.699730075,3.896782199,4.0493784,4.13338985,4.511591184,4.486274614,9,57.84,0.38,57.2976
3.703170467,3.890536694,4.022810028,4.108573347,4.515739968,4.503355314,9,59.46,0.5,68.6862
3.731149241,3.884445507,4.039329249,4.130090887,4.518991052,4.504022117,9,61.17,0.6,76.2021
3.732539309,3.8321644,4.002048855,4.075346191,4.528367914,4.495289983,9,59.39,0.5,68.7162
3.733712092,3.909878671,4.054218493,4.134504008,4.507185093,4.487902603,9,58.19,0.45,64.58
3.78770633,3.894510577,4.046536583,4.121840574,4.528367914,4.504737754,9,58.28,0.6,77.2283
3.81662151,3.907790983,4.064742163,4.133480277,4.54434603,4.509993991,9,60,0.42,60.6026
3.621606779,3.774616996,3.993013373,4.079769238,4.545417155,4.518131965,10,58.65,0.48,67.224
3.638767329,3.821660153,4.000622919,4.085125954,4.517746564,4.499417148,10,58.85,0.45,64.265
3.639693731,3.792263615,4.002626859,4.083065687,4.528910978,4.498405895,10,59.14,0.41,59.9654
3.647164792,3.796490349,3.978135026,4.061764637,4.497834125,4.481581739,10,57.53,0.57,75.2513
3.66548576,3.810822859,4.009503056,4.088047552,4.511402892,4.485753747,10,57.29,0.52,71.3307
