R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.777527459,3.899753168,4.075204861,4.134834674,4.537381876,4.512304375,12,59.46,0.48,66.8621
3.778104595,3.981796981,4.142038849,4.207063921,4.54572808,4.532843372,12,61.26,0.5,67.9156
3.778296804,3.925112631,4.104317666,4.169892578,4.569315787,4.543862918,12,59.36,0.44,63.0156
3.778296804,3.937990529,4.108341711,4.174935988,4.564461562,4.545834053,12,61.14,0.48,66.1117
3.778680966,3.946953143,4.116450553,4.178102867,4.558588114,4.533217351,12,59.22,0.5,68.789
3.778680966,3.890294694,4.054928073,4.115571868,4.531153523,4.500392447,12,57.59,0.48,67.6978
3.779639887,3.907092869,4.067046542,4.131334721,4.547625795,4.521488936,12,62.95,0.47,64.3269
3.780787804,3.892106511,4.091111887,4.162681183,4.56950412,4.548082267,12,57.99,0.5,69.3163
3.781074293,3.897497072,4.09468484,4.15888796,4.551936172,4.518035222,12,59.68,0.49,67.6875
3.781360628,3.8895072,4.063778397,4.126061995,4.556967947,4.523070098,12,55.92,0.45,65.6635
3.782313657,3.930607665,4.098763104,4.171635452,4.582682973,4.563226217,12,57.85,0.48,67.5816
3.782504012,3.939452169,4.115046673,4.178184448,4.570831926,4.543999696,12,58.42,0.5,69.1319
3.782694284,3.906393603,4.085237778,4.148500861,4.549355112,4.521456973,12,59.22,0.42,61.0026
3.782979518,3.874832039,4.088749878,4.159910286,4.55718593,4.537170612,12,57.97,0.44,63.6945
3.782979518,3.863265427,4.054455161,4.12357106,4.567120328,4.54085882,12,57.85,0.49,68.4882
3.783074577,3.949125545,4.128020745,4.19049141,4.568396453,4.548067235,12,56.89,0.43,63.2204
3.783359561,3.923265427,4.114154054,4.181786552,4.578737719,4.558168084,12,57.32,0.42,61.9756
3.783359561,3.884322829,4.05673614,4.120631312,4.555536249,4.521424957,12,58.23,0.47,66.4821
3.783359561,3.896304954,4.083581627,4.148209568,4.518991052,4.482125156,13,57.62,0.44,63.8654
3.783929005,3.93368546,4.133741532,4.190464987,4.550942431,4.521664945,13,58.45,0.51,69.9944
3.784402989,3.935598033,4.11039181,4.17840196,4.544084088,4.528330875,13,60,0.52,70.2146
