,1,2,3,4,5,6,7,8,9,10
STT,R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
40,3.865726394,3.968708674,4.133051088,4.188132201,4.534278865,4.502503694,3,63.77,0.86,91.6999
41,3.700075326,3.824063452,4.024503185,4.089884457,4.562025903,4.529353445,4,58.07,0.73,85.912
42,3.816093385,3.939073703,4.097907709,4.161750094,4.531024926,4.513642367,4,59.39,0.78,88.4562
43,3.731149241,3.954274505,4.105581364,4.168976838,4.540525819,4.518196431,4,60.7,0.75,86.3527
44,3.784402988,3.941716115,4.113672649,4.171911454,4.57236618,4.540338226,4,60.48,0.82,90.3842
45,3.794701448,3.960136792,4.12621952,4.194176815,4.566125203,4.55409058,4,59.59,0.87,93.2286
46,3.703513037,3.897318478,4.096979087,4.160618836,4.542208332,4.5211528,4,62.65,0.71,83.3277
47,3.760548006,3.962141817,4.116689803,4.180354708,4.526435904,4.508677641,4,63.53,0.82,89.6051
48,3.76522701,3.964749872,4.121142741,4.18240646,4.5575611,4.533575367,4,59.33,0.7,83.6879
49,3.801949792,3.968405415,4.118190524,4.173343874,4.533039102,4.503338652,4,62.21,0.8,88.832
50,3.835218525,3.93181941,4.102026618,4.161184833,4.541267431,4.517179603,4,60.61,0.77,87.5507
51,3.815829065,3.961423134,4.128386741,4.185733366,4.533128683,4.512810701,4,61.63,0.74,85.489
52,3.73816097,3.924441833,4.107853817,4.165490522,4.547774321,4.512794371,4,59,0.73,85.6405
53,3.692180943,3.900994926,4.063508139,4.145696314,4.537901157,4.507572122,4,61.56,0.8,89.0024
54,3.76522701,3.971327954,4.124041431,4.182594934,4.5575611,4.534212925,4,60.66,0.7,83.2849
55,3.797835836,3.956878197,4.137405392,4.204767681,4.589513274,4.568872226,4,59.33,0.78,88.4725
56,3.793497019,3.90052229,4.080175965,4.152183438,4.548565412,4.533482004,4,61.56,0.85,91.7133
57,3.773563049,3.905576391,4.104598827,4.171055261,4.550954692,4.517405765,4,59.76,0.72,84.8076
58,3.862809813,3.972331139,4.146240533,4.205662109,4.563949307,4.545879428,4,60.16,0.84,91.5351
59,3.735730324,3.880687511,4.079915723,4.148326108,4.565199129,4.544121213,4,58.8,0.8,89.7313
60,3.792382249,3.947006237,4.137112094,4.20099085,4.580026168,4.55866775,4,59.77,0.78,88.353
61,3.760347778,3.921804501,4.083212746,4.142283149,4.53764794,4.510535821,5,58.76,0.76,87.48425
62,3.739213552,3.837391099,4.007310986,4.070947301,4.528031379,4.494422384,5,58.38,0.74,86.41919
63,3.713665814,3.852572134,4.051646477,4.116920562,4.569209811,4.538203407,5,59.03,0.69,83.14343
64,3.794145964,3.955161538,4.111810793,4.176003288,4.517215904,4.499400307,5,58.24,0.66,81.43422
65,3.83183417,3.9117836,4.09310047,4.157321367,4.565959135,4.543041538,5,59.61,0.75,86.66025
66,3.760247648,3.890718126,4.08302817,4.151692292,4.55165424,4.527700422,5,59.87,0.61,77.39987
67,3.76522701,3.895049666,4.059707046,4.126276572,4.577549422,4.5462574,5,57.14,0.69,83.72848
68,3.759144466,3.878018736,4.086851005,4.156693161,4.584039414,4.555779393,5,61.81,0.72,84.20592
69,3.832767484,3.956826297,4.093605213,4.152298917,4.521955449,4.494439419,5,62.54,0.61,76.47102
70,3.819951442,3.935488963,4.109211583,4.174524808,4.582043156,4.559870451,5,58.07,0.74,86.50855
